/ru/jobs/3201061/,Водитель с личным авто (доставка бутилированной воды),3201061,Водитель с личным авто (доставка бутилированной воды),15 000 грн,"В компанию по доставке бутилированной воды, требуются водители с личным авто."
href,title,id,Job Title,payment,job_description
/ru/jobs/3484503/,Оператор з телефонних продажів,3484503,Оператор з телефонних продажів,9 000 – 12 800 грн,"Vodafone — міжнародна телекомунікаційна компанія, послугами якої користуються мільйони абонентів по всьому світу. Контакт-центр — головна артерія нашого бізнесу, що надає клієнтський сервіс найвищої якості. Якщо ти молодий, амбітний, прагнеш більшого та кращого — долучайся до нашої команди Vodafone Україна!"
href,title,id,Job Title,payment,job_description
/ru/jobs/3593659/,Оператор call-центру,3593659,Оператор call-центру,8 000 – 10 000 грн,"Vodafone — міжнародна телекомунікаційна компанія, послугами якої користуються мільйони клієнтів по всьому світу. "
href,title,id,Job Title,payment,job_description
/ru/jobs/3448219/,Помощник руководителя в приёмную Леонида Черновецкого,3448219,Помощник руководителя в приёмную Леонида Черновецкого,67 500 грн,"Должность помощника руководителя — это не работа «принеси-подай» и «от звонка до звонка», а шанс каждый день расти и обретать неповторимый опыт."
href,title,id,Job Title,payment,job_description
/ru/jobs/4465745/,Повар-универсал,4465745,Повар-универсал,22 000 – 26 000 грн,ITALIST Pizza Pasta Bar — концептуальный ресторан итальянской кухни приглашает к себе в команду повара .
href,title,id,Job Title,payment,job_description
/ru/jobs/4243124/,Повар-сыровар,4243124,Повар-сыровар,15 000 – 20 000 грн,Требования: 
href,title,id,Job Title,payment,job_description
/ru/jobs/3382847/,Менеджер з продажу,3382847,Менеджер з продажу,15 000 – 40 000 грн,"розширення ринку збуту продукції (розвиток продажу в Житомирській області), виконання плану продаж"
href,title,id,Job Title,payment,job_description
/ru/jobs/4033392/,Java Tech Lead,4033392,Java Tech Lead,Payment is not specified,Required skills:
href,title,id,Job Title,payment,job_description
/ru/jobs/4458531/,Менеджер по продажам (горячие звонки),4458531,Менеджер по продажам (горячие звонки),25 000 – 50 000 грн,"Успешная и дружная команда в связи с расширением, ищет ярких и целеустремленных личностей, для которых карьерный рост и развитие не просто слова, людей, которые нацелены на результат, видят в себе лидера и человека, который готов двигаться вперед, а не стоять на месте."
href,title,id,Job Title,payment,job_description
/ru/jobs/3858947/,Прибиральниця,3858947,Прибиральниця,Payment is not specified,Запрошуємо в свою команду: Прибиральників
href,title,id,Job Title,payment,job_description
/ru/jobs/4559315/,Менеджер по кредитованию,4559315,Менеджер по кредитованию,Payment is not specified,Регион: г. Горишние Плавни.
href,title,id,Job Title,payment,job_description
/ru/jobs/4559291/,Грузчик,4559291,Грузчик,10 200 – 14 600 грн,"Внимание, мужчины!"
href,title,id,Job Title,payment,job_description
/ru/jobs/4524902/,Грузчик,4524902,Грузчик,10 000 – 13 900 грн,"Внимание, мужчины!"
href,title,id,Job Title,payment,job_description
/ru/jobs/4046029/,Помічник нотаріуса,4046029,Помічник нотаріуса,20 000 – 25 000 грн,Розглядаємо резюме тільки з досвідом роботи у сфері нотаріату!
href,title,id,Job Title,payment,job_description
/ru/jobs/4559245/,SEO-специалист,4559245,SEO-специалист,15 000 – 30 000 грн,Требования: Реальный и практический опыт в SEO индустрии. Все остальные предложения не будет рассматриваться. 
href,title,id,Job Title,payment,job_description
/ru/jobs/4390008/,Дизайнер корпусних меблів,4390008,Дизайнер корпусних меблів,7 000 – 17 000 грн,Ви Дизайнер корпусних меблів? Тоді запрошуємо вас стати частиною нашої сім'ї!
href,title,id,Job Title,payment,job_description
/ru/jobs/4559227/,"Старший официант, администратор",4559227,"Старший официант, администратор",14 000 – 17 000 грн,"Мы, бар с прекрасным винишком и лучшей пиццей — «MurMur», находимся в поисках того самого амбициозного старшего официанта!"
href,title,id,Job Title,payment,job_description
/ru/jobs/4558665/,"Cтаночник, оператор ЧПУ (металлообработка)",4558665,"Cтаночник, оператор ЧПУ (металлообработка)",21 000 грн,"Допомагаємо партнеру: міжнародна машинобудівна компанія зі світовим ім'ям, запрошує робітників, інженерно-технічних працівників."
href,title,id,Job Title,payment,job_description
/ru/jobs/3772909/,"Водитель на авто компании (Bolt, с проживанием)",3772909,"Водитель на авто компании (Bolt, с проживанием)",18 000 – 28 000 грн,В связи с расширением автопарка приглашаем на работу водителей на автомобиль компании.
href,title,id,Job Title,payment,job_description
/ru/jobs/4219165/,Продавець-консультант мобільних телефонів і аксесуарів в ТРЦ (острів),4219165,Продавець-консультант мобільних телефонів і аксесуарів в ТРЦ (острів),35 000 грн,"Торгівельна мережа «Смартшоп» http://smartshop.com.ua/ запрошує на роботу продавця-консультанта для роздрібного продажу мобільних телефонів та аксесуарів в м. Київ (ТРЦ «Promenada Park», «Retroville», «РайON»)."
href,title,id,Job Title,payment,job_description
/ru/jobs/4559220/,Повар-универсал,4559220,Повар-универсал,16 000 – 19 000 грн,Привет! 
href,title,id,Job Title,payment,job_description
/ru/jobs/4475471/,Специалист игровой поддержки World of Tanks (чаты),4475471,Специалист игровой поддержки World of Tanks (чаты),Payment is not specified,Это новая вакансия в группе клиентской поддержки 
href,title,id,Job Title,payment,job_description
/ru/jobs/4058104/,Переводчик английского языка в брачное агентство,4058104,Переводчик английского языка в брачное агентство,10 000 – 25 000 грн,"Прибыльная, развивающая и интересная удаленная онлайн работа в студии общения Socialcraft.studio и не менее интересное онлайн собеседование в Телеграмм по ссылке SocialCraft_Bot "
href,title,id,Job Title,payment,job_description
/ru/jobs/3929332/,Ассистент продюсера по закадровому озвучиванию,3929332,Ассистент продюсера по закадровому озвучиванию,20 000 грн,"Привет! Перед тобой вакансия из будущего — того самого, в котором люди перестали просто ходить на работу и получать за это деньги. Мы вкладываем своё время, любовь и творческую энергию в создание контента, который смотрят во всем мире."
href,title,id,Job Title,payment,job_description
/ru/jobs/4340315/,Диспетчер-логіст,4340315,Диспетчер-логіст,17 000 грн,Вимоги: 
href,title,id,Job Title,payment,job_description
/ru/jobs/4559012/,Оператор слот-зала (казино),4559012,Оператор слот-зала (казино),16 000 грн,"Компания «3М+» развивает легальный игорный бизнес в Украине. Мы собираем команду лучших специалистов, чтобы вместе развивать культуру азартных игр и становиться лидерами в этой области."
href,title,id,Job Title,payment,job_description
/ru/jobs/4444776/,Продавець-консультант,4444776,Продавець-консультант,12 000 грн,Про нас: Наші магазини це рай для модниць і другий дім для працівників. Ми пропонуємо комфортні умови праці з достойною заробітною платою! 
href,title,id,Job Title,payment,job_description
/ru/jobs/3690213/,Столяр-мебельщик,3690213,Столяр-мебельщик,16 000 – 30 000 грн,"Компания открыла вакансию на должность Столяр-мебельщик, рассматриваем кандидатов только специалистов с опытом работы в столярном деле. Производство находиться в Киевосвятошинском районе село Стоянка (15 мин от ст.м. Житомерская) "
href,title,id,Job Title,payment,job_description
/ru/jobs/4205268/,Менеджер по продажам,4205268,Менеджер по продажам,15 000 – 40 000 грн,В Киевское представительство компании ЕВРОМЕД требуется менеджер по продажам услуг. МЫ — лидеры на рынке «Трудоустройство медицинских специалистов в Польше». Более 6-ти лет опыта работы в данном направлении. Конкуренты подписаны на все наши соц.сети и каналы потому что никто не обладает таким опытом и полнотой знаний как наша компания. 
href,title,id,Job Title,payment,job_description
/ru/jobs/2216399/,Разнорабочий (колка дров),2216399,Разнорабочий (колка дров),17 000 – 23 000 грн,Требования:
